date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-03-23,12500.240440498048,1953.567532900507,381.4766041887803,12874.284577587328,1853.0,108.0,1961.0,2335.0441370892872
2020-03-24,12217.80490279943,2173.483971868801,443.9957029191055,12365.284577587328,2317.0,153.0,2470.0,2617.4796747879063
2020-03-25,11911.563692317093,2410.2820056835744,513.438879586667,11827.284577587328,2824.0,184.0,3008.0,2923.7208852702415
2020-03-26,11581.502516522705,2663.470523421703,590.3115376429259,11431.284577587328,3193.0,211.0,3404.0,3253.782061064629
2020-03-27,11228.059900940983,2932.1269129484726,675.0977636978785,11045.284577587328,3554.0,236.0,3790.0,3607.2246766463513
2020-03-28,10852.178527334232,3214.859415546069,768.2466347070334,10564.284577587328,3957.0,314.0,4271.0,3983.1060502531027
2020-03-29,10455.338781862756,3509.7881434223195,870.1576523022558,10159.284577587328,4321.0,355.0,4676.0,4379.945795724575
2020-03-30,10039.568722122194,3814.5499031852946,981.1659522798439,9437.284577587328,5007.0,391.0,5398.0,4795.715855465139
2020-03-31,9607.42594206884,4126.330567061063,1101.528068457429,9026.284577587328,5401.0,408.0,5809.0,5227.8586355184925
2020-04-01,9161.948836070722,4441.9266209596935,1231.4091205569157,8456.284577587328,5889.0,490.0,6379.0,5673.335741516609
2020-04-02,8706.577605501103,4757.834672890829,1370.8722991954003,7878.284577587328,6386.0,571.0,6957.0,6128.706972086229
2020-04-03,8245.04848889048,5070.364650453331,1519.8714382435219,7482.284577587328,6719.0,634.0,7353.0,6590.236088696853
2020-04-04,7781.267732346069,5375.769553802808,1678.2472914384546,6988.284577587328,6958.0,889.0,7847.0,7054.016845241263
2020-04-05,7319.174249697686,5670.382449721058,1845.7278781685889,6556.284577587328,7144.0,1135.0,8279.0,7516.110327889647
2020-04-06,6862.601216023246,5950.750400280255,2021.9329612838324,6276.284577587328,7270.0,1289.0,8559.0,7972.683361564088
2020-04-07,6415.146954626096,6213.755212138443,2206.382410822794,6092.284577587328,7315.0,1428.0,8743.0,8420.137622961238
2020-04-08,5980.064210205415,6456.712449609183,2398.5079177727353,5862.284577587328,7327.0,1646.0,8973.0,8855.220367381919
2020-04-09,5560.174542627144,6677.442734171112,2597.667300789077,5601.284577587328,7389.0,1845.0,9234.0,9275.11003496019
2020-04-10,5157.811644146878,6874.312419892603,2803.160513547849,5353.284577587328,7354.0,2128.0,9482.0,9677.472933440453
2020-04-11,4774.794276623401,7046.243888806138,3014.2464121577914,5153.284577587328,7315.0,2367.0,9682.0,10060.49030096393
2020-04-12,4412.426880181992,7192.6982570091395,3230.1594403961994,4859.284577587328,7339.0,2637.0,9976.0,10422.85769740534
2020-04-13,4071.523634238983,7313.635564611532,3450.1253787368155,4773.284577587328,7280.0,2782.0,10062.0,10763.760943348347
2020-04-14,3752.4507546579157,7409.4581543988,3673.3756685306153,4552.284577587328,7415.0,2868.0,10283.0,11082.833822929415
2020-04-15,3455.1808165054294,7480.943957102436,3899.1598039794644,4274.284577587328,7472.0,3089.0,10561.0,11380.1037610819
2020-04-16,3179.3543941014273,7529.174518348227,4126.755665137676,4062.2845775873284,7227.0,3546.0,10773.0,11655.930183485903
2020-04-17,2924.3431307641745,7555.4638304430755,4355.477616380079,3817.2845775873284,7288.0,3730.0,11018.0,11910.941446823155
2020-04-18,2708.968208622133,7541.935407122102,4584.380961843097,3667.2845775873284,7253.0,3915.0,11168.0,12126.3163689652
2020-04-19,2510.002730699011,7512.65008539379,4812.631761494535,3446.2845775873284,7280.0,4109.0,11389.0,12325.281846888323
2020-04-20,2326.5129266638737,7468.998249977302,5039.773400946158,3317.2845775873284,7276.0,4242.0,11518.0,12508.77165092346
2020-04-21,2157.5352940533126,7412.358020270116,5265.391263263907,3187.2845775873284,7220.0,4428.0,11648.0,12677.749283534024
2020-04-22,2002.0997173533656,7344.0728167990555,5489.112043434915,2956.2845775873284,7260.0,4619.0,11879.0,12833.18486023397
2020-04-23,1859.2476233904745,7265.434534445898,5710.602419750962,2640.2845775873284,7269.0,4926.0,12195.0,12976.036954196861
2020-04-24,1728.046126190376,7177.671155797863,5929.567295599097,2386.2845775873284,7350.0,5099.0,12449.0,13107.23845139696
2020-04-25,1607.598469738115,7081.9383796819875,6145.747728167234,2061.2845775873284,7348.0,5426.0,12774.0,13227.686107849222
2020-04-26,1497.05120621298,6979.314725509943,6358.918645864413,1863.2845775873284,7086.0,5886.0,12972.0,13338.233371374356
2020-04-27,1395.5989727410151,6870.799128479518,6568.8864763668025,1727.2845775873284,7061.0,6047.0,13108.0,13439.68560484632
2020-04-28,1302.48706331786,6757.310791748756,6775.48672252072,1640.2845775873284,6988.0,6207.0,13195.0,13532.797514269476
2020-04-29,1217.0123678983207,6639.690646658045,6978.58156303097,1390.2845775873284,6985.0,6460.0,13445.0,13618.272209689014
2020-04-30,1138.5230634087206,6518.703996197126,7178.057517981489,1211.2845775873284,6707.0,6917.0,13624.0,13696.761514178615
2020-05-01,1066.417351767391,6395.044019625415,7373.823206194531,954.2845775873284,6309.0,7572.0,13881.0,13768.867225819946
2020-05-02,1000.1415438270966,6269.3358133282,7565.80722043204,707.2845775873284,6054.0,8074.0,14128.0,13835.14303376024
2020-05-03,939.1876715348191,6142.140777765358,7753.956128287159,584.2845775873284,6098.0,8153.0,14251.0,13896.096906052517
2020-05-04,645.640304839181,6247.599063365102,7942.045209383051,524.2845775873284,6027.0,8284.0,14311.0,14189.644272748152
2020-05-05,442.32010689176496,6261.105850947066,8131.858619748502,484.2845775873284,5854.0,8497.0,14351.0,14392.964470695568
2020-05-06,303.4026552575849,6210.830046516494,8321.051875813255,242.28457758732839,5633.0,8960.0,14593.0,14531.881922329749
2020-05-07,209.03361439295048,6118.217731946866,8508.033231247517,11.284577587328386,5454.0,9370.0,14824.0,14626.250963194383
2020-05-08,144.95223994755344,5998.567377994941,8691.764959644837,-166.71542241267161,5266.0,9736.0,15002.0,14690.332337639778
2020-05-09,101.29974745574913,5862.387900898721,8871.59692923286,-344.7154224126716,5084.0,10096.0,15180.0,14733.98483013158
2020-05-10,69.83241447365535,5718.283184598251,9047.168978515429,-519.7154224126716,5015.0,10340.0,15355.0,14765.45216311368
2020-05-11,48.59778293789397,5568.413224612375,9218.273570037065,-586.7154224126716,4895.0,10527.0,15422.0,14786.68679464944
2020-05-12,34.150261447303805,5416.340445763129,9384.793870376905,-686.7154224126716,4899.0,10623.0,15522.0,14801.134316140033
2020-05-13,24.233548680165928,5264.350710761526,9546.700318145646,-793.7154224126716,4816.0,10813.0,15629.0,14811.051028907172
